0.05,0.03,0.02,0.01,0.005,0.002,0
1.00,1.20,1.44,2.16,2.70,2.97,0.1
1.20,1.44,1.72,2.58,3.23,3.55,0.25
2.57,3.08,3.70,5.55,6.94,7.64,0.5
6.30,7.56,9.07,14,17,19,0.75
14,16,20,29,37,40,1
26,31,37,55,69,76,1.25
43,52,63,94,117,129,1.5
68,82,98,148,185,203,1.75
102,122,146,219,274,302,2
144,173,208,311,389,428,2.25
197,237,284,426,533,586,2.5
262,315,378,567,708,779,2.75
340,408,490,735,919,1011,3
